model,subject,actual_activity,predicted_activity,actual_id,predicted_id,confidence,is_correct
svm_rbf_standalone,101,lying,lying,1,1,0.9253123879903019,1
svm_rbf_standalone,101,lying,lying,1,1,0.9380644069215628,1
svm_rbf_standalone,101,lying,lying,1,1,0.971924714484234,1
svm_rbf_standalone,101,lying,lying,1,1,0.9892768749430386,1
svm_rbf_standalone,101,lying,lying,1,1,0.9825849290881981,1
svm_rbf_standalone,101,lying,lying,1,1,0.9801039959652927,1
svm_rbf_standalone,101,lying,lying,1,1,0.9790828625275969,1
svm_rbf_standalone,101,lying,lying,1,1,0.9928153146083531,1
svm_rbf_standalone,101,lying,lying,1,1,0.9791755988690639,1
svm_rbf_standalone,101,lying,lying,1,1,0.9640147404286501,1
svm_rbf_standalone,101,lying,lying,1,1,0.9904268192569489,1
svm_rbf_standalone,101,lying,lying,1,1,0.9938437162966332,1
svm_rbf_standalone,101,lying,lying,1,1,0.9963206185285853,1
svm_rbf_standalone,101,lying,lying,1,1,0.9961473814488742,1
svm_rbf_standalone,101,lying,lying,1,1,0.9975252930582844,1
svm_rbf_standalone,101,lying,lying,1,1,0.9951382883741141,1
svm_rbf_standalone,101,lying,lying,1,1,0.996132614384512,1
svm_rbf_standalone,101,lying,lying,1,1,0.6963101080779456,1
svm_rbf_standalone,101,lying,lying,1,1,0.7541232682298314,1
svm_rbf_standalone,101,lying,lying,1,1,0.7950447612938154,1
svm_rbf_standalone,101,lying,lying,1,1,0.5360990649136423,1
svm_rbf_standalone,101,lying,lying,1,1,0.9755022139031024,1
svm_rbf_standalone,101,lying,lying,1,1,0.9970342337812982,1
svm_rbf_standalone,101,lying,lying,1,1,0.9938534723619774,1
svm_rbf_standalone,101,lying,lying,1,1,0.9989877742264782,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999074274946492,1
svm_rbf_standalone,101,lying,lying,1,1,0.9997226094765238,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999683372858147,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998823755046344,1
svm_rbf_standalone,101,lying,lying,1,1,0.9995715516319553,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999055368306272,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999074578209369,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999366123158413,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999044308779229,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998760191985638,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999365479987434,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999657599741378,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998591908000876,1
svm_rbf_standalone,101,lying,lying,1,1,0.99980485313569,1
svm_rbf_standalone,101,lying,lying,1,1,0.9993548902637763,1
svm_rbf_standalone,101,lying,lying,1,1,0.999735746319303,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998811712934743,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998222578980773,1
svm_rbf_standalone,101,lying,lying,1,1,0.9997773663194258,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998997630834238,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998247309043989,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998601718402619,1
svm_rbf_standalone,101,lying,lying,1,1,0.9994458688572225,1
svm_rbf_standalone,101,lying,lying,1,1,0.9995155716524355,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999248573775855,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998446592254384,1
svm_rbf_standalone,101,lying,lying,1,1,0.9997583590396637,1
svm_rbf_standalone,101,lying,lying,1,1,0.9996533439222538,1
svm_rbf_standalone,101,lying,lying,1,1,0.9997781472134161,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998235804178824,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998591528072112,1
svm_rbf_standalone,101,lying,lying,1,1,0.9992022439190229,1
svm_rbf_standalone,101,lying,lying,1,1,0.999854179714114,1
svm_rbf_standalone,101,lying,lying,1,1,0.999598972865559,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998198587521422,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998801961204361,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998175805248171,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999343896636345,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999256812052585,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998469290292713,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998368432576444,1
svm_rbf_standalone,101,lying,lying,1,1,0.9996377744857023,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998177883619044,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999361161076563,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999354705742912,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998735758630773,1
svm_rbf_standalone,101,lying,lying,1,1,0.9994554718985021,1
svm_rbf_standalone,101,lying,lying,1,1,0.9997744345630397,1
svm_rbf_standalone,101,lying,lying,1,1,0.9997776841031248,1
svm_rbf_standalone,101,lying,lying,1,1,0.9997564557212262,1
svm_rbf_standalone,101,lying,lying,1,1,0.9997969971661973,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998918633632948,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999331829615687,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998050214343914,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998904395199603,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998835038048265,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999265369593896,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999022155269464,1
svm_rbf_standalone,101,lying,lying,1,1,0.9997581546000939,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998247018165504,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999098272482922,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999415842718259,1
svm_rbf_standalone,101,lying,lying,1,1,0.9995933751194964,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998444670630853,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999495244777153,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999083783154176,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998210839389488,1
svm_rbf_standalone,101,lying,lying,1,1,0.9997753820223441,1
svm_rbf_standalone,101,lying,lying,1,1,0.999918329584911,1
svm_rbf_standalone,101,lying,lying,1,1,0.999950343136019,1
svm_rbf_standalone,101,lying,lying,1,1,0.9997735733399984,1
svm_rbf_standalone,101,lying,lying,1,1,0.999900294451675,1
svm_rbf_standalone,101,lying,lying,1,1,0.9996610239853989,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998624965709496,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998201322987003,1
svm_rbf_standalone,101,lying,lying,1,1,0.9996207661215073,1
svm_rbf_standalone,101,lying,lying,1,1,0.9997295618857716,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998579183227994,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998651066590423,1
svm_rbf_standalone,101,lying,lying,1,1,0.999816668028729,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998060215990208,1
svm_rbf_standalone,101,lying,lying,1,1,0.9995154921332197,1
svm_rbf_standalone,101,lying,lying,1,1,0.9996389918223628,1
svm_rbf_standalone,101,lying,lying,1,1,0.9994906621519055,1
svm_rbf_standalone,101,lying,lying,1,1,0.9994251384840733,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998812148435667,1
svm_rbf_standalone,101,lying,lying,1,1,0.999848864741192,1
svm_rbf_standalone,101,lying,lying,1,1,0.999533821958134,1
svm_rbf_standalone,101,lying,lying,1,1,0.9997796130559677,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998295533910296,1
svm_rbf_standalone,101,lying,lying,1,1,0.99989558746375,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999347889689584,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999439079185746,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999582672375847,1
svm_rbf_standalone,101,lying,lying,1,1,0.9997869041485539,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998669997577998,1
svm_rbf_standalone,101,lying,lying,1,1,0.999858868445137,1
svm_rbf_standalone,101,lying,lying,1,1,0.9997766672811104,1
svm_rbf_standalone,101,lying,lying,1,1,0.9996868633229765,1
svm_rbf_standalone,101,lying,lying,1,1,0.999725927636568,1
svm_rbf_standalone,101,lying,lying,1,1,0.9997999597174632,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999100222364669,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998931382253636,1
svm_rbf_standalone,101,lying,lying,1,1,0.9998933630813351,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999071719208749,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999083628949053,1
svm_rbf_standalone,101,lying,lying,1,1,0.9999127451681785,1
